iter	Passed	Remaining
0	18	18064
1	25	12524
2	43	14497
3	64	15987
4	71	14196
5	81	13428
6	103	14685
7	123	15316
8	135	14908
9	151	14951
10	170	15358
11	180	14833
12	195	14832
13	205	14448
14	224	14726
15	231	14230
16	248	14393
17	263	14387
18	281	14516
19	292	14356
20	301	14077
21	320	14259
22	340	14472
23	361	14684
24	374	14619
25	384	14397
26	402	14518
27	411	14301
28	424	14206
29	434	14060
30	444	13885
31	453	13719
32	465	13635
33	485	13789
34	492	13583
35	501	13441
36	508	13230
37	514	13024
38	530	13081
39	547	13148
40	567	13282
41	590	13458
42	595	13249
43	605	13150
44	611	12981
45	617	12801
46	621	12600
47	627	12444
48	631	12255
49	648	12321
50	665	12376
51	680	12403
52	697	12458
53	714	12525
54	734	12614
55	741	12501
56	757	12525
57	778	12642
58	787	12555
59	806	12630
60	816	12561
61	834	12627
62	852	12680
63	872	12756
64	889	12799
65	896	12685
66	905	12603
67	925	12687
68	945	12751
69	955	12692
70	967	12654
71	995	12826
72	1020	12963
73	1032	12914
74	1050	12955
75	1059	12885
76	1071	12845
77	1090	12896
78	1101	12836
79	1119	12878
80	1133	12865
81	1152	12897
82	1162	12838
83	1172	12784
84	1178	12687
85	1196	12711
86	1215	12757
87	1225	12702
88	1231	12609
89	1249	12635
90	1256	12549
91	1260	12439
92	1264	12337
93	1279	12335
94	1296	12346
95	1313	12367
96	1329	12378
97	1338	12320
98	1343	12227
99	1350	12152
100	1358	12091
101	1370	12062
102	1384	12054
103	1396	12034
104	1406	11989
105	1418	11962
106	1427	11911
107	1441	11903
108	1457	11916
109	1474	11929
110	1490	11940
111	1500	11898
112	1511	11867
113	1517	11792
114	1530	11779
115	1541	11743
116	1546	11672
117	1561	11672
118	1577	11682
119	1585	11624
120	1599	11616
121	1615	11625
122	1622	11570
123	1630	11518
124	1640	11485
125	1650	11451
126	1662	11426
127	1675	11412
128	1680	11344
129	1684	11274
130	1689	11210
131	1704	11205
132	1720	11215
133	1735	11214
134	1752	11225
135	1768	11238
136	1774	11177
137	1782	11132
138	1796	11130
139	1809	11114
140	1823	11106
141	1828	11047
142	1841	11037
143	1851	11005
144	1857	10955
145	1873	10957
146	1879	10903
147	1891	10887
148	1906	10890
149	1914	10848
150	1923	10815
151	1941	10833
152	1948	10787
153	1959	10763
154	1972	10753
155	1994	10789
156	2002	10752
157	2007	10698
158	2019	10683
159	2031	10664
160	2046	10667
161	2054	10625
162	2068	10622
163	2074	10572
164	2083	10546
165	2092	10514
166	2105	10502
167	2119	10498
168	2134	10498
169	2140	10451
170	2149	10418
171	2164	10418
172	2169	10372
173	2176	10332
174	2185	10302
175	2200	10300
176	2207	10264
